,cluster_id,genes,size,reactome_term,reactome_name,reactome_pval
10,9,"['AADAC', 'ASPDH', 'CCDC150', 'CDK15', 'DEK', 'E2F7', 'ELSPBP1', 'FAM227B', 'HEMK1', 'KATNAL2', 'LACC1', 'LMO3', 'NAPB', 'PTAFR', 'RGS18', 'TFPI', 'TMCO2', 'TPD52', 'ZNF383', 'ZNF432', 'ZNF790']",21,R-HSA-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,0.004759798562276485
11,10,"['AADACL2', 'ABCA12', 'AP2A2', 'CKB', 'GPSM1', 'JDP2', 'OXTR']",7,R-HSA-177504,Retrograde neurotrophin signalling,0.03186775694688271
12,11,"['AADACL3', 'KLHDC2', 'RTL3', 'ZNF112']",4,R-HSA-212436,Generic Transcription Pathway,0.5283290441990273
13,12,"['AADACL4', 'APBB1', 'FAM161B', 'GALNT18', 'IFITM2', 'KRTAP10-11', 'KRTAP10-8', 'LSP1', 'MAF', 'MYT1L', 'NMRK2', 'PIP', 'PRAMEF12', 'PTP4A3', 'SFMBT2', 'SGPL1', 'SLC2A3', 'SPDYE4', 'TEX29', 'TPPP', 'VN1R4', 'ZNF606', 'ZNF862']",23,R-HSA-9022699,MECP2 regulates neuronal receptors and channels,0.0066856224664874064
14,13,"['AADAT', 'ACSL6', 'ADAM9', 'AHSG', 'ATP6V0D2', 'CES4A', 'CFAP210', 'COL12A1', 'COLEC10', 'DNAJA4', 'EFCC1', 'FCER1G', 'FOXP2', 'GBP6', 'GDF9', 'GKN1', 'GLYAT', 'IL2RA', 'INHBB', 'IRX6', 'KCNAB1', 'KRT1', 'MORC3', 'MTA3', 'MTERF1', 'NCOA2', 'PDZRN4', 'PLCL1', 'RAB28', 'SMC1B', 'SPTA1', 'SSPN', 'TGFBR3', 'TSPAN16', 'VWA3A', 'ZFP28', 'ZNF202']",37,R-HSA-163316,Mitochondrial transcription termination,0.008951060457786486
15,14,"['AAGAB', 'AGPAT1', 'AIFM2', 'AK2', 'ASAP3', 'ATP1A2', 'BLNK', 'BRCC3', 'C1orf53', 'CHD7', 'CTNNBIP1', 'DENND4A', 'ELF1', 'ELMO1', 'EXOC6', 'FCHO1', 'GCLC', 'GCLM', 'GSS', 'HMGCL', 'IGF2BP3', 'KRIT1', 'LCK', 'LPCAT3', 'LRP8', 'MBNL1', 'MNT', 'NCKAP1L', 'NFKBIZ', 'PCYT2', 'PPCS', 'PRDX6', 'RALGAPB', 'SLC19A1', 'SRPK1', 'SYNJ1']",36,R-HSA-9818027,NFE2L2 regulating anti-oxidant/detoxification enzymes,0.000673720053998017
16,15,"['AAK1', 'AVPR1A', 'C9orf24', 'CUBN', 'DMWD', 'FREM2', 'GPRIN1', 'KCNK12', 'LIPE', 'MCIDAS', 'SETD7']",11,R-HSA-9022699,MECP2 regulates neuronal receptors and channels,0.0018875317961917215
17,16,"['AAMDC', 'ACTBL2', 'ARAP3', 'BCL2L11', 'BFSP1', 'BLOC1S4', 'BPIFB6', 'BRWD3', 'C15orf39', 'CCL22', 'CCN3', 'CDH16', 'CHMP1B', 'CLIC5', 'CTLA4', 'DDO', 'DLK2', 'FRAS1', 'GJB5', 'IQSEC2', 'KCNK17', 'KCNMA1', 'KRT34', 'LPIN3', 'LZTS2', 'MAGIX', 'MEGF10', 'MYO5B', 'NAT9', 'PTGER4', 'SCUBE2', 'SNCG', 'TMEM204', 'WNT11']",34,R-HSA-8952158,RUNX3 regulates BCL2L11 (BIM) transcription,0.0008349098915992892
18,17,"['AAMP', 'BRIX1', 'CEBPZ', 'CRCP', 'CSTF1', 'DARS1', 'DBR1', 'DDX18', 'DDX27', 'DDX51', 'DDX54', 'DDX55', 'DDX56', 'DKC1', 'DMRTC2', 'ERCC2', 'FIP1L1', 'FNTA', 'GNL3', 'GNL3L', 'GRWD1', 'GTPBP4', 'IARS2', 'KDM4A', 'LAS1L', 'LIN52', 'LUC7L3', 'MCMBP', 'MDN1', 'MYBBP1A', 'NAA25', 'NAE1', 'NHP2', 'NIFK', 'NLE1', 'NMD3', 'NOB1', 'NOC2L', 'NOL12', 'NOL8', 'NOL9', 'NOP10', 'NOP16', 'NOP58', 'OSGEP', 'PAK1IP1', 'PELP1', 'PNKP', 'POLR1C', 'POLR3B', 'POLR3C', 'POLR3H', 'POLR3K', 'PRMT1', 'RBBP5', 'RPF2', 'RPL28', 'RPL32', 'RPTOR', 'RRP1', 'RRP12', 'RRS1', 'RSL1D1', 'SAE1', 'SPOUT1', 'SRBD1', 'SURF6', 'TAF1C', 'TMA16', 'TPT1', 'TRRAP', 'TSR2', 'TTC4', 'UBTF', 'URB1', 'URB2', 'WDR12', 'WDR18', 'WDR3', 'WDR55', 'WDR74', 'XRCC6', 'XRN2']",83,R-HSA-8868773,rRNA processing in the nucleus and cytosol,9.769295041817116e-07
19,18,"['AANAT', 'JPT1', 'KCNK9', 'KCTD2', 'LY6K', 'PRDM12', 'RHBDF2', 'SSTR2', 'TMEM235']",9,R-HSA-1299316,TWIK-releated acid-sensitive K+ channel (TASK),0.005188969764919005
20,19,"['AAR2', 'ACSS1', 'ADAM29', 'AFG1L', 'AMMECR1', 'ASAH1', 'CALM2', 'CASP3', 'CCNG2', 'CCR5', 'CCRL2', 'CD200', 'CD300A', 'CLEC2B', 'CLEC9A', 'CRYZL1', 'CST9L', 'CT83', 'CUTC', 'CYP39A1', 'DNAJC28', 'DNASE2B', 'FAM172A', 'FEZ1', 'FGGY', 'FPR1', 'GALNT1', 'GBP7', 'GCC2', 'GPR171', 'GRIK1', 'IGLL5', 'IKZF2', 'IPCEF1', 'ITGAX', 'KCNA2', 'KIAA1586', 'KLRC1', 'KRTAP27-1', 'LPP', 'LYSMD2', 'MAPK8', 'MRGPRX4', 'MROH9', 'NAT1', 'NCEH1', 'NEK5', 'NREP', 'PEG3', 'PIR', 'PNOC', 'PPFIBP2', 'PRKACB', 'PRR19', 'PRRT2', 'RAB41', 'RABEP1', 'RALGPS2', 'RD3L', 'RFTN2', 'RNASE9', 'RNASET2', 'RPL3L', 'RRP1B', 'RWDD2B', 'SAT1', 'SH2D4A', 'SLC9A8', 'SPATA4', 'TCP11L1', 'TDRP', 'TENT2', 'THNSL1', 'TMEM144', 'TMEM218', 'TTC23L', 'USF3', 'WDR72', 'WFDC10A', 'ZBTB14', 'ZNF474', 'ZNF484', 'ZNF490', 'ZNF570']",84,R-HSA-451307,Activation of Na-permeable kainate receptors,0.06971221779425174
21,20,"['AARD', 'AMER2', 'ATP12A', 'ATP2C2', 'BHLHE22', 'BNIP5', 'C1orf216', 'CSF1R', 'DUSP13', 'DUSP29', 'FOXN4', 'GJB2', 'GRIN2A', 'GSG1L', 'H1-7', 'IGFL2', 'INSC', 'KCNN1', 'KRT72', 'KRT79', 'MID2', 'NECTIN4', 'NR4A1', 'NR4A2', 'P2RY2', 'PCP2', 'PIK3CG', 'SCN2A', 'SCN5A', 'TBC1D1', 'TENM4', 'TMEM132E', 'TMEM229B', 'ZNF618']",34,R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells,0.24382065799478347
22,21,"['AARS1', 'ANAPC1', 'ATP2A2', 'CCDC28B', 'CCT2', 'CCT7', 'COPZ1', 'CTCF', 'CYP11A1', 'DDX46', 'HINFP', 'HSPA9', 'KAT8', 'NUTF2', 'PAXBP1', 'POLR2L', 'PSMC5', 'RTF2', 'SAP30BP', 'STX5', 'YKT6']",21,R-HSA-390450,Folding of actin by CCT/TriC,0.003078732239733095
23,22,"['AARS2', 'EARS2', 'FARS2', 'FIS1', 'GATB', 'GFM1', 'HARS2', 'LARS2', 'MRPL13', 'MRPL19', 'MRPL20', 'MRPL38', 'MRPL39', 'MRPL42', 'MRPL43', 'MRPS15', 'MTPAP', 'NARS2', 'NGRN', 'QRSL1', 'SLC25A26', 'SLC35A1', 'TANC2', 'TARS2', 'TFAM', 'THAP11', 'TMEM126A', 'TRMT1', 'TRUB2', 'TWNK']",30,R-HSA-72766,Translation,4.352981530786337e-09
24,23,"['AARSD1', 'NAGLU']",2,R-HSA-2024096,HS-GAG degradation,0.026275859107447563
25,24,"['AASDH', 'ABLIM3', 'ADAP1', 'ATP2B3', 'CPED1', 'FES', 'GABRP', 'GLI1', 'H2AZ2', 'HDDC3', 'ITPR1', 'KIF5A', 'LRRK1', 'MBD6', 'PIK3R5', 'SH3BP2', 'SLC22A23']",17,R-HSA-5635851,GLI proteins bind promoters of Hh responsive genes to promote transcription,0.00035745106923468217
26,25,"['AASDHPPT', 'ATAD5', 'CMTR1', 'CSNK1A1', 'FNTB', 'GLMN', 'KDM8', 'LETM1', 'LONP1', 'MRE11', 'NBN', 'PCNT', 'PGS1', 'PTPMT1', 'RPRD1B', 'SAFB', 'TAMM41', 'TRA2B', 'WSB2', 'ZC3HC1']",20,R-HSA-5685939,HDR through MMEJ (alt-NHEJ),0.004192542076242423
27,26,"['AASS', 'CDRT15L2', 'COL6A3', 'CYP24A1', 'LTB', 'MESP2', 'NUDT6', 'SMOC2']",8,R-HSA-9824272,Somitogenesis,0.00537216641656324
28,27,"['AATF', 'ABT1', 'ATMIN', 'BMS1', 'BYSL', 'C18orf21', 'C1D', 'C1orf131', 'C2orf49', 'CUL2', 'DIMT1', 'EEF2', 'EIF1AD', 'EIF6', 'ESF1', 'GAR1', 'IMP4', 'LSG1', 'MARS1', 'MTREX', 'NAT10', 'NOC3L', 'NOL10', 'NOL6', 'NOM1', 'NOP14', 'NOP53', 'NVL', 'PNO1', 'POP1', 'POP4', 'RBM19', 'RBM28', 'RCL1', 'RIOK1', 'RPP14', 'RPP38', 'RRP7A', 'RRP9', 'SENP7', 'USP10', 'USP36', 'UTP18', 'UTP25', 'UTP3', 'ZNF236']",46,R-HSA-8868773,rRNA processing in the nucleus and cytosol,3.3306690738754696e-15
29,28,"['AATK', 'DUS1L', 'IER3', 'MFSD11', 'SLC25A10', 'TEPSIN', 'TMEM129']",7,R-HSA-1614517,Sulfide oxidation to sulfate,0.02374942976547534
30,29,"['ABAT', 'ASB18', 'CPSF4L', 'DIO3', 'FOXJ1', 'RESP18', 'STK25', 'TMEM104', 'TWIST2']",9,R-HSA-350864,Regulation of thyroid hormone activity,0.01378012467154821
31,30,"['ABCA1', 'ACAD11', 'ACOT8', 'BLCAP', 'CEP41', 'EHD3', 'FILIP1', 'GJB7', 'HMGN3', 'LCORL', 'MSR1', 'NAPSA', 'NNAT', 'PPM1K', 'RNF148', 'S100A2', 'S100A9', 'SIX3', 'SLC1A3', 'SLCO1C1', 'TGFA', 'TSPAN18', 'ZNF263']",23,R-HSA-212718,EGFR interacts with phospholipase C-gamma,0.06493165429947867
32,31,"['ABCA10', 'ABCA13', 'ABCA9', 'ABCG1', 'ACO1', 'ADPRM', 'AFF2', 'AGGF1', 'ANKRD45', 'ARHGAP6', 'ARL13A', 'ARL14', 'AZIN2', 'BBIP1', 'BIRC3', 'C10orf62', 'C11orf65', 'C21orf91', 'C2CD6', 'CALB1', 'CAVIN3', 'CCDC160', 'CCDC186', 'CFAP36', 'CHCT1', 'CHD6', 'CLGN', 'CPEB4', 'CSN2', 'CSNK1G3', 'CYP2B6', 'DAB2', 'DACT1', 'DCD', 'DDIAS', 'DESI2', 'DKK4', 'DNAAF4', 'DNAH14', 'DNAJC1', 'EDAR', 'EHBP1', 'ELK3', 'ETAA1', 'EVX1', 'FAXC', 'FMO5', 'FPGT', 'FSBP', 'GABRG2', 'GADL1', 'GALNT12', 'GATA1', 'GIMAP8', 'GOLM1', 'HDHD2', 'HECW1', 'HLA-DQA2', 'HMGA2', 'HMGCS2', 'HSBP1L1', 'HSPB11', 'ICAM2', 'IFT74', 'IL1RAP', 'IL21', 'IL26', 'IRAK4', 'KITLG', 'KLRF2', 'KLRG1', 'KMO', 'L3MBTL1', 'LGALS2', 'LPAR6', 'LRRC63', 'LUM', 'MAGEB18', 'MAP4K3', 'MCF2', 'MKNK2', 'MMP27', 'MNS1', 'MOB2', 'MORN2', 'MPG', 'MPPED2', 'MS4A13', 'MS4A2', 'MTHFSD', 'MUC7', 'MYEF2', 'NETO2', 'NME7', 'NOVA1', 'NPVF', 'NRCAM', 'NSUN6', 'NXPH1', 'OMA1', 'PARPBP', 'PARVB', 'PAX6', 'PCDHA8', 'PELI1', 'PIAS2', 'PMCH', 'PMS1', 'POGLUT2', 'POLK', 'PPP1R12B', 'PSIP1', 'PSME3IP1', 'PVR', 'RAB11FIP2', 'RALB', 'RARRES1', 'RBM43', 'RCAN2', 'RGS7', 'RMDN2', 'RNASE2', 'RPGRIP1L', 'RSPO4', 'S100G', 'SATL1', 'SDS', 'SECISBP2L', 'SELENOV', 'SEMG1', 'SGCZ', 'SIGLEC6', 'SKOR2', 'SLC10A5', 'SLC1A1', 'SLC28A2', 'SLC41A2', 'SLC9A6', 'SNRPN', 'SPEF2', 'SRGAP1', 'STAP2', 'STK32A', 'STX6', 'SULT1E1', 'SYT1', 'SYTL2', 'TAS2R14', 'TAS2R16', 'TAS2R19', 'TAS2R43', 'TBC1D24', 'TC2N', 'TCIM', 'THAP2', 'TLL2', 'TLR7', 'TMEM135', 'TMTC3', 'TRIM38', 'TRIM5', 'TRMO', 'TTC8', 'TXLNB', 'UBLCP1', 'UBQLNL', 'UBXN2A', 'UGT1A5', 'USH2A', 'VAPB', 'VEPH1', 'ZC2HC1A', 'ZCCHC14', 'ZFP14', 'ZKSCAN8', 'ZNF175', 'ZNF195', 'ZNF223', 'ZNF26', 'ZNF268', 'ZNF343', 'ZNF528', 'ZNF561', 'ZNF564', 'ZNF589', 'ZNF624', 'ZNF708', 'ZNF713', 'ZNF99', 'ZPBP']",190,R-HSA-447038,NrCAM interactions,0.2176957021104322
33,32,"['ABCA2', 'EXD3', 'SERPINE1', 'STPG3', 'TBC1D21']",5,R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",0.0006788191236706265
34,33,"['ABCA3', 'ADD2', 'ADGRD1', 'DLX4', 'FAM78B', 'FNDC11', 'FOXG1', 'FREM3', 'HRCT1', 'HTRA1', 'IGFL3', 'KALRN', 'KCNG3', 'LRRC17', 'MAP3K6', 'MAT1A', 'MST1R', 'NANOS2', 'OLIG2', 'PHLPP2', 'POTED', 'SFRP5', 'SLC22A13', 'TMEM30B', 'TMEM63B', 'USP2', 'ZYG11A']",27,R-HSA-1296072,Voltage gated Potassium channels,0.014761299606733447
35,34,"['ABCA4', 'ACKR4', 'AIF1', 'AK1', 'AMPD1', 'ANKRD23', 'AP3S1', 'ARPP19', 'ATP2A3', 'BLMH', 'BMAL1', 'BMF', 'BPIFB4', 'CCDC181', 'CCDC62', 'CCNT2', 'CD5', 'CPAMD8', 'CSPG5', 'DPRX', 'DRICH1', 'FABP1', 'FKBP9', 'HIVEP3', 'IGFBP6', 'IHO1', 'IQCF1', 'KCNA10', 'KCNC1', 'KIF27', 'KLF17', 'LCE3A', 'LCT', 'LRRC8B', 'MCEE', 'MPPE1', 'MYO3B', 'NDUFAF2', 'NOTO', 'PIWIL3', 'PKHD1', 'PLA2G12B', 'PLA2G4D', 'PROX2', 'PSTPIP1', 'RCVRN', 'RNF103', 'RNF41', 'SALL4', 'SCPEP1', 'SEBOX', 'SLC16A12', 'SLC5A5', 'SORT1', 'ST7L', 'ST8SIA3', 'TM9SF4', 'TMEM61', 'TWF1']",59,R-HSA-139910,Activation of BMF and translocation to mitochondria,0.06431873905063501
36,35,"['ABCA5', 'ADAMTS6', 'ANXA3', 'ATP11C', 'C2orf73', 'CCDC169', 'CCDC54', 'CDKL5', 'CERS3', 'CETN2', 'CETN3', 'CHL1', 'DNAJB4', 'ENPP4', 'FBXO15', 'FBXO25', 'FRK', 'GOPC', 'GRAMD1C', 'HSDL2', 'KBTBD6', 'KCNQ3', 'NKIRAS1', 'NPTN', 'PTCD2', 'PXDN', 'RTBDN', 'S100PBP', 'SERPINB13', 'SLC39A6', 'SLC9C2', 'SNX16', 'SOAT1', 'SPATA7', 'SPOPL', 'SUMF1', 'SUSD1', 'TAS2R20', 'TAS2R4', 'TATDN1', 'TMEM220', 'TNFRSF11A', 'TRIM36', 'ZBTB41', 'ZFP62', 'ZNF555']",46,R-HSA-8939242,RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,0.0041800199378516645
37,36,"['ABCA6', 'ANGPTL1', 'CD200R1L', 'CSGALNACT2', 'DCLRE1A', 'EEF1AKMT1', 'FAM47E', 'GABRA1', 'GABRB2', 'HS3ST3A1', 'HTR3E', 'IDNK', 'KIF13A', 'LDHB', 'LMTK3', 'PANK1', 'RNF182', 'SCNN1G', 'SGCD', 'SOST', 'TAS2R39', 'TCAIM', 'ZYX']",23,R-HSA-9730628,Sensory perception of salty taste,0.04568893325732215
38,37,"['ABCA7', 'BDH1', 'CCDC171', 'CD7', 'EFNA2', 'ELANE', 'LRBA', 'MICAL1', 'ZNF17']",9,R-HSA-3928663,EPHA-mediated growth cone collapse,0.05165728967731287
39,38,"['ABCA8', 'C16orf96', 'DLG4', 'DSG4', 'PDHA2', 'PLPPR5', 'SH3GL3', 'SPINK14', 'STAT1', 'STK39', 'ZDHHC15', 'ZNF19']",12,R-HSA-1059683,Interleukin-6 signaling,0.0014666091524992986
40,39,"['ABCB1', 'AKAP6', 'ANO5', 'BCAP29', 'CACNA2D1', 'CEMIP2', 'CHM', 'CIC', 'CTNNA2', 'DAB1', 'DTHD1', 'DYNC2LI1', 'ELAPOR2', 'FAM114A1', 'FGD4', 'HFM1', 'LGALS12', 'LGR5', 'MDGA2', 'MGAT5', 'MS4A3', 'MS4A7', 'MSTN', 'MTMR1', 'RALYL', 'SLC28A3', 'SLC4A8', 'SP8', 'ST7', 'THAP8', 'TMEM131L', 'TOX', 'TTC28', 'ZNF491', 'ZNF93']",35,R-HSA-112308,Presynaptic depolarization and calcium channel opening,0.08520168948996043
41,40,"['ABCB10', 'DOK5', 'FGF13', 'INAVA', 'MLYCD', 'MON1B', 'OSGIN1', 'TDRD3', 'ZNRF1']",9,R-HSA-1369007,Mitochondrial ABC transporters,0.0197182027912306
42,41,"['ABCB11', 'BCKDHA', 'EGFR', 'GAB1', 'GRB2', 'MET', 'MGA', 'PTPN11', 'SHC1', 'SOS1', 'STAT5B']",11,R-HSA-8865999,MET activates PTPN11,9.58455459443286e-09
43,42,"['ABCB4', 'ATG3', 'CGRRF1', 'CIB2', 'DUSP3', 'KLF9', 'LCMT2', 'TMEM151A', 'ZNF579']",9,R-HSA-202670,ERKs are inactivated,0.026625345311575788
44,43,"['ABCB5', 'ANKRD1', 'APPL1', 'C12orf50', 'CMAS', 'EFNB3', 'GLG1', 'HYKK', 'P3H1', 'RBMS1', 'SCIN', 'SEC24A', 'SHROOM4', 'SLC35D1', 'TBATA', 'TEF', 'TMEM14B', 'TRIM26', 'ZBTB1', 'ZDHHC4', 'ZFP3']",21,R-HSA-3928664,Ephrin signaling,0.09295298398978091
45,44,"['ABCB6', 'ABCB9', 'ABL2', 'ADAMTSL2', 'AP5S1', 'ATP13A2', 'BEGAIN', 'CALHM4', 'CHRD', 'CLDN1', 'CPTP', 'CTRC', 'DBH', 'DDC', 'DDHD2', 'DOK7', 'DZIP1', 'EFHD1', 'FAM149A', 'FCN3', 'GPR162', 'ITM2C', 'JADE1', 'KCNA5', 'KCNE5', 'LNX1', 'MORN3', 'OGFOD3', 'PLAT', 'PTPN6', 'RAB20', 'RAMP3', 'RTP5', 'SH3TC2', 'SHPRH', 'SIRT6', 'SLC10A1', 'SLC30A3', 'SLC6A18', 'SORBS3', 'STMND1', 'TMEM132D', 'TNK2', 'TTLL12', 'UBASH3A', 'WNT10A', 'ZNF276']",47,R-HSA-5576890,Phase 3 - rapid repolarisation,0.005084233260301607
46,45,"['ABCB7', 'ABHD11', 'CDIPT', 'CHD1', 'DDX1', 'DHPS', 'DNLZ', 'FAM98B', 'FXN', 'GLRX3', 'GNB1L', 'HNRNPA1', 'HNRNPH1', 'HSCB', 'N6AMT1', 'NDUFAB1', 'PPIH', 'PRPF38B', 'PTBP1', 'PYROXD1', 'RTCB', 'RTRAF', 'SLC25A28']",23,R-HSA-6803529,FGFR2 alternative splicing,0.0004968690891983263
47,46,"['ABCB8', 'ARHGAP36', 'CAP2', 'CLDN23', 'FAM50B', 'FER1L6', 'FOXQ1', 'GFOD1', 'HMX1', 'HUS1B', 'IGSF11', 'OSTM1', 'PHOX2B', 'SLC30A8']",14,R-HSA-1369007,Mitochondrial ABC transporters,0.02348947986025729
48,47,"['ABCC1', 'AKAP7', 'AS3MT', 'ATF7IP2', 'CHN2', 'DHRS7', 'DRD3', 'EDIL3', 'ELOVL2', 'GNG2', 'IRX5', 'KLK5', 'LRRC43', 'MKNK1', 'NEK6', 'OTOL1', 'PARP15', 'PLA1A', 'PRRC2B', 'SH3D19', 'SLC13A5', 'SLC16A8', 'SYN3', 'SYT16', 'ZNF768']",25,R-HSA-9818032,NFE2L2 regulating MDR associated enzymes,0.002031992526983717
49,48,"['ABCC10', 'PRDM14', 'SLC47A1', 'ZSWIM5']",4,R-HSA-452723,Transcriptional regulation of pluripotent stem cells,0.04525095201538276
